ID	Name	Type	Address	City	State/Province	Postal Code	Country	Gov ID 1	Gov ID 2	Gov ID 3	URL	Telephone	Fax	Email	Date	Group ID
00-2293921	Lockmann Fondation	PC		Habra	CA		United States	EIN:002293921								19
01-0211500	Dyer Libraries	PC		Saco	ME		United States	EIN:010211500								85
01-0104905	Laurel Hill Cemetery	EO		Saco			United States	EIN:010104905								36
01-0002847	Hulls Cove Neighbourhood Assoc.	PC		Hulls Cove	ME			EIN:010002847								23
01-0095329	Improved Order of Redmen of Maine	EO,GROUP,LODGE		Standish	ME		United States	EIN:010095329								34
00-1058976	Newton Firefighters Children Foundation	PC		Waltham	MA		United States	EIN:001058976								13
01-0180531	West Oxford Agriculture Society	PC		Fryeberg	ME			EIN:010180531								57
01-0015091	Hannover Football Club	PC		Cedar Knolls	NJ			EIN:010015091								24
00-1049015	Marshfield Womenade Inc.	PC		Marshfield	MA		United States	EIN:001049015								11
01-0211504	Eunice Frye Home	PF		Portland	ME		United States	EIN:010211504								88
01-0211481	Bangor Childrens Home	PC		Bangor	ME		United States	EIN:010211481								76
01-0211481	Bangor Children Home	PC			ME		United States	EIN:010211481								76
01-0017496	Agamenticus Yacht Club of York	PC		York Harbor	ME		United States	EIN:010017496								25
01-0211478	United Way of Eastern Maine	PC		Bangor	ME		United States	EIN:010211478								75
00-0852649	Bethany Presbyterian Church	PC		Brookline	MA		United States	EIN:000852649								6
01-0211500	Dyer Library Association	PC		Saco	ME		United States	EIN:010211500								85
00-1017919	Progresive Aproach Inc.	PC		Cambridge	MA		United States	EIN:001017919								8
01-0095329	Improved Order of Redman	EO,GROUP,LODGE		Standish	ME		United States	EIN:010095329								34
00-0841363	Agape House of Prayer	PC		Mattapan	MA		United States	EIN:000841363								5
01-0140290	Pine Grove Cemetery Corp	EO		Portland	ME		United States	EIN:010140290								49
01-0131950	Plant Memorial Home	POF		Bath	ME		United States	EIN:010131950								44
01-0024645	Bangor Symphony Orchestra	PC		Bangor	ME		United States	EIN:010024645								28
01-0211494	Central Maine Medical Centre	PC		Lewistone				EIN:010211494								83
00-0587764	Iglesia Bethesda Incorporated	PC		Lowel	MA		United States	EIN:000587764								2
00-2293921	Lockman Foundation	PC		La Habra	CA		United States	EIN:002293921								19
00-1017919	Progressive Approach Inc.	PC		Cambridge	MA		United States	EIN:001017919								8
01-0187940	Rockland Cemetery Association	EO		Rockland	ME		United States	EIN:010187940								60
01-0187940	Rockland Cemetery	EO		Rockland			United States	EIN:010187940								60
00-0765634	New Hope Congregational Church	PC		Boston	MA		United States	EIN:000765634								4
01-0132625	Order of the Eastern Star of Maine	EO,GROUP,LODGE		Gardiner	ME		United States	EIN:010132625								46
00-1727883	New Garden Park Inc.	SO		Worcester	MA		United States	EIN:001727883								14
01-0043788	Community Christmas Project	PC		Pittsfield	ME		United States	EIN:010043788								30
00-1045782	Schools Helping Schools Inc.	PC		Andover	MA		United States	EIN:001045782								10
00-0852649	Bethany Presbiterian Church	PC		Brooklyn	MA		United States	EIN:000852649								6
01-0147000	Rangeley Library Association	PC		Rangeley	ME		United States	EIN:010147000								51
00-2030711	Church of Lord Jesus Christ of Macedonia	PC		Newark	NJ		United States	EIN:002030711								15
01-0153128	Greater Rumford Community Centre	PC		Rumford			United States	EIN:010153128								52
01-0024155	Bangor Band Foundation	PC		Bangor	ME		United States	EIN:010024155								27
00-1041338	PandoraBox Productions Inc.	PC		Brookline	MA		United States	EIN:001041338								9
01-0130065	North Auburn Cemetery Association Inc.	EO		Auburn	ME		United States	EIN:010130065								41
01-0211530	Maine Historical Society	PC		Portland	ME		United States									98
01-0130065	North Auburn Cemetery Association	EO		Auburn	ME		United States	EIN:010130065								41
00-0635913	M. Apostolico Jesucristo Es El Senor Inc.	PC		Lawrance	MA		United States	EIN:000635913								3
01-0114721	Mechanic Falls Maple Grove Cemetery Inc.	EO		Norway	ME		United States	EIN:010114721								38
01-0211497	President & Trustees of Colby College	PC		Watersville	ME		United States	EIN:010211497								84
01-0056642	Demerritt Cemetery Assoc	EO		Peru	ME		United States	EIN:010056642								31
01-0207022	Fairmount Cemetery	EO		Presque Isle	ME		United States	EIN:010207022								71
